title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,currency,seat_pricing,scrape_datetime
Lietuvos moksleivių dainų šventė,https://www.bilietai.lt/eng/tickets/koncertai/lietuvos-moksleiviu-dainu-svente-102976/,Music,,,,,2026-07-03,2026-07-06,2026-02-26 10:00,2026-07-06,"[{'date': '2026-07-03', 'time': '19:00'}]",EUR,"{'2026-07-03': [{'seat': 'General', 'ticket_price': '10.00 - 50.00'}]}",2026-03-02 17:21:09
Natalija Bunkė su gyvo garso grupe,https://www.bilietai.lt/eng/tickets/koncertai/natalija-bunke-su-gyvo-garso-grupe-103024/,Music,,,,,2026-04-09,2026-04-24,2026-03-01 09:00,2026-04-24,"[{'date': '2026-04-09', 'time': '18:00'}]",EUR,"{'2026-04-09': [{'seat': 'General', 'ticket_price': '35.00 - 45.00'}]}",2026-03-02 17:21:14
DINAMIKA,https://www.bilietai.lt/eng/tickets/koncertai/dinamika-99880/,Music,,,,,2026-03-06,2026-03-27,2025-08-07 10:00,2026-03-27,"[{'date': '2026-03-06', 'time': '20:00'}]",EUR,"{'2026-03-06': [{'seat': 'General', 'ticket_price': '29.25 - 71.45'}]}",2026-03-02 17:21:19
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,Music,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50",Kaunas,Lithuania,2026-03-13,2026-03-13,2025-10-27 09:00,2026-03-13,"[{'date': '2026-03-13', 'time': '20:00'}]",EUR,"{'2026-03-13': [{'seat': 'General', 'ticket_price': '29.90 - 125.40'}]}",2026-03-02 17:21:24
ČIURLIONIS: MATAU MUZIKĄ. PRIVATŪS SEANSAI,https://www.bilietai.lt/eng/tickets/koncertai/ciurlionis-matau-muzika-privatus-seansai-492369/,Music,MUZIKOS SVETAINĖ,Gedimino pr. 32-2,Vilnius,Lithuania,2026-01-16,2026-12-31,2026-01-16 10:00,2026-12-31,"[{'date': '2026-01-16', 'time': '10:00'}]",EUR,"{'2026-01-16': [{'seat': 'General', 'ticket_price': '201.20 - 501.20'}]}",2026-03-02 17:21:29
LAUKINĖ ANTIS. Rež. Oskaras Koršunovas,https://www.bilietai.lt/eng/tickets/teatras/drama/laukine-antis-rez-oskaras-korsunovas-99218/,Theatre,,,,,2026-04-28,2026-05-17,2026-02-24 13:30,2026-05-17,"[{'date': '2026-04-28', 'time': '18:30'}]",EUR,"{'2026-04-28': [{'seat': 'General', 'ticket_price': '37.19 - 72.19'}]}",2026-03-02 17:21:56
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,Theatre,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50",Kaunas,Lithuania,2026-03-13,2026-03-13,2025-10-27 09:00,2026-03-13,"[{'date': '2026-03-13', 'time': '20:00'}]",EUR,"{'2026-03-13': [{'seat': 'General', 'ticket_price': '29.90 - 125.40'}]}",2026-03-02 17:22:01
"LNDT | PREMJERA. Laura Kutkaitė. MOKYK MANE, rež.Laura KUTKAITĖ",https://www.bilietai.lt/eng/tickets/teatras/lndt--premjera-laura-kutkaite-mokyk-mane-rezlaura-kutkaite-101160/,Theatre,Lietuvos nacionalinis dramos teatras,Gedimino pr. 4,Vilnius,Lithuania,2026-03-28,2026-05-12,2025-10-20 10:00,2026-05-12,"[{'date': '2026-03-28', 'time': '19:00'}]",EUR,"{'2026-03-28': [{'seat': 'General', 'ticket_price': '7.75 - 25.00'}]}",2026-03-02 17:22:07
KEISTUOLIAI | Geltonų plytų kelias,https://www.bilietai.lt/eng/tickets/teatras/vaikams-ir-jaunimui/keistuoliai--geltonu-plytu-kelias-78469/,Theatre,Keistuolių teatras,Laisvės pr. 60,Vilnius,Lithuania,2026-03-14,2026-11-29,2024-08-26 18:00,2026-11-29,"[{'date': '2026-03-14', 'time': '12:00'}]",EUR,"{'2026-03-14': [{'seat': 'General', 'ticket_price': '12.20 - 26.20'}]}",2026-03-02 17:22:12
Raganiukės teatro METINIS ABONEMENTAS,https://www.bilietai.lt/eng/tickets/teatras/vaikams-ir-jaunimui/raganiukes-teatro-metinis-abonementas-419975/,Theatre,Raganiukės teatras,S. Stanevičiaus g. 24,Vilnius,Lithuania,2025-12-30,2026-12-31,2024-01-22 16:00,2026-12-31,"[{'date': '2025-12-30', 'time': '00:00'}]",EUR,"{'2025-12-30': [{'seat': 'General', 'ticket_price': '149.60'}]}",2026-03-02 17:22:17
